id,model,mae,bias,score
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,lightgbm,127.63215440220787,-125.24479785833545,252.8769522605433
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,lightgbm,125.8672291958895,76.70455708023435,202.57178627612385
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,lightgbm,50.40639173879261,18.37724813904068,68.78363987783328
CID0_SID0_PID122_MGID6_CAT120-CAT268-CAT3127,lightgbm,118.49413008778728,-104.61542947546164,223.1095595632489
CID0_SID0_PID127_MGID6_CAT120-CAT258-CAT3172,lightgbm,23.08745520785804,-18.253330749964206,41.34078595782225
CID0_SID0_PID129_MGID6_CAT110-CAT233-CAT3181,lightgbm,50.53009759548631,4.110547077934874,54.64064467342119
CID0_SID0_PID136_MGID6_CAT14-CAT228-CAT3161,lightgbm,26.10428545305427,-11.6531342312772,37.757419684331474
CID0_SID0_PID166_MGID6_CAT120-CAT250-CAT359,lightgbm,72.96347425309514,42.53856124884176,115.5020355019369
CID0_SID0_PID18_MGID6_CAT14-CAT228-CAT3142,lightgbm,35.97933235679165,-23.89936122292039,59.87869357971204
CID0_SID0_PID190_MGID6_CAT14-CAT228-CAT3131,lightgbm,59.419572424784754,-17.96334457613523,77.38291700091999
CID0_SID0_PID193_MGID6_CAT18-CAT229-CAT3114,lightgbm,22.09201668948541,-5.993495810890138,28.085512500375547
CID0_SID0_PID194_MGID5_CAT118-CAT280-CAT3109,lightgbm,35.717963991144494,-6.263894605236399,41.981858596380896
CID0_SID0_PID19_MGID6_CAT14-CAT228-CAT381,lightgbm,53.98697226905751,-26.423933727867333,80.41090599692484
CID0_SID0_PID201_MGID6_CAT18-CAT229-CAT3113,lightgbm,35.3556102440316,-11.20329767366228,46.55890791769389
CID0_SID0_PID207_MGID6_CAT14-CAT228-CAT3179,lightgbm,46.74344729967688,-40.31479868433778,87.05824598401466
CID0_SID0_PID214_MGID6_CAT18-CAT28-CAT39,lightgbm,22.77686963781661,17.199063881805564,39.975933519622174
CID0_SID0_PID215_MGID6_CAT14-CAT228-CAT3149,lightgbm,131.6985066370489,-32.053867244089325,163.75237388113823
CID0_SID0_PID21_MGID6_CAT14-CAT228-CAT381,lightgbm,36.58089070874493,16.308884300805204,52.88977500955013
CID0_SID0_PID223_MGID6_CAT120-CAT258-CAT3172,lightgbm,45.62781216662534,-18.3766931521263,64.00450531875164
CID0_SID0_PID23_MGID6_CAT14-CAT253-CAT358,lightgbm,65.04569758114894,-61.036463120322914,126.08216070147184
CID0_SID0_PID253_MGID6_CAT110-CAT233-CAT383,lightgbm,19.551082057246568,5.253785376027848,24.804867433274417
CID0_SID0_PID259_MGID6_CAT121-CAT264-CAT3123,lightgbm,29.8200200173585,21.463724059182063,51.28374407654057
CID0_SID0_PID26_MGID6_CAT14-CAT253-CAT3156,lightgbm,34.81086876195078,-20.969502060064336,55.78037082201512
CID0_SID0_PID291_MGID5_CAT116-CAT227-CAT398,lightgbm,29.3557044543016,5.73915931375362,35.09486376805522
CID0_SID0_PID296_MGID5_CAT116-CAT225-CAT3103,lightgbm,39.43037651636944,-6.430921476777946,45.86129799314739
CID0_SID0_PID300_MGID6_CAT120-CAT250-CAT324,lightgbm,202.80642722642747,40.0899917783427,242.89641900477017
CID0_SID0_PID310_MGID5_CAT116-CAT225-CAT3105,lightgbm,49.41013968078404,-6.307767406310944,55.717907087094986
CID0_SID0_PID345_MGID5_CAT116-CAT226-CAT396,lightgbm,14.32925685072189,10.20583260376098,24.535089454482872
CID0_SID0_PID370_MGID6_CAT124-CAT266-CAT3199,lightgbm,31.01852507947728,-25.8267973186168,56.84532239809408
CID0_SID0_PID379_MGID2_CAT129-CAT276-CAT3231,lightgbm,21.468044795503243,8.98286885145451,30.45091364695775
CID0_SID0_PID38_MGID0_CAT15-CAT26-CAT365,lightgbm,134.09755046270774,123.37274544900444,257.4702959117122
CID0_SID0_PID411_MGID0_CAT128-CAT272-CAT3218,lightgbm,25.663213654982,2.871267545921826,28.534481200903823
CID0_SID0_PID419_MGID6_CAT124-CAT251-CAT3153,lightgbm,16.780414324686227,-2.087943997851512,18.868358322537738
CID0_SID0_PID41_MGID6_CAT14-CAT253-CAT377,lightgbm,87.7054717216564,46.33299191981785,134.03846364147424
CID0_SID0_PID439_MGID6_CAT121-CAT261-CAT316,lightgbm,40.28541496071874,-6.507067671732197,46.79248263245093
CID0_SID0_PID486_MGID6_CAT120-CAT268-CAT363,lightgbm,75.36434973297733,55.74206640562392,131.10641613860125
CID0_SID0_PID489_MGID6_CAT121-CAT264-CAT3123,lightgbm,36.402851376467865,3.853849098330104,40.25670047479797
CID0_SID0_PID496_MGID5_CAT116-CAT225-CAT3101,lightgbm,29.027286547582857,-8.819042048151967,37.846328595734825
CID0_SID0_PID4_MGID2_CAT129-CAT278-CAT382,lightgbm,122.90414308054962,118.61165027496932,241.51579335551892
CID0_SID0_PID500_MGID6_CAT14-CAT228-CAT3179,lightgbm,18.096913297306543,5.998329232268898,24.095242529575444
CID0_SID0_PID548_MGID3_CAT111-CAT262-CAT3182,lightgbm,19.71219110091328,-4.018462247309075,23.73065334822235
CID0_SID0_PID554_MGID6_CAT14-CAT228-CAT3168,lightgbm,45.54323959122922,-25.723074370525943,71.26631396175516
CID0_SID0_PID567_MGID6_CAT120-CAT250-CAT359,lightgbm,35.65193896562161,-3.250050208211252,38.90198917383286
CID0_SID0_PID578_MGID6_CAT14-CAT253-CAT358,lightgbm,32.731580786753895,-32.490864378222014,65.22244516497591
CID0_SID0_PID580_MGID2_CAT129-CAT276-CAT360,lightgbm,72.13448408136823,-67.46527343871456,139.5997575200828
CID0_SID0_PID596_MGID2_CAT129-CAT276-CAT360,lightgbm,67.07871614413534,55.2143416643216,122.29305780845696
CID0_SID0_PID600_MGID2_CAT129-CAT278-CAT3157,lightgbm,74.50629601991352,-73.06721282385759,147.5735088437711
CID0_SID0_PID631_MGID5_CAT116-CAT225-CAT3103,lightgbm,27.178065270826103,-12.245306167664422,39.42337143849053
CID0_SID0_PID633_MGID5_CAT116-CAT225-CAT3105,lightgbm,18.016040561568296,0.8947975585926612,18.91083812016096
CID0_SID0_PID635_MGID5_CAT116-CAT227-CAT3104,lightgbm,27.753282621718103,14.04192935797373,41.79521197969184
CID0_SID0_PID638_MGID5_CAT116-CAT225-CAT394,lightgbm,16.96041267893712,10.028958109120229,26.98937078805735
CID0_SID0_PID644_MGID4_CAT123-CAT210-CAT317,lightgbm,56.026073292509565,48.34305160113117,104.36912489364072
CID0_SID0_PID672_MGID6_CAT110-CAT238-CAT3173,lightgbm,34.52919545581023,-6.32514694000929,40.85434239581952
CID0_SID0_PID686_MGID2_CAT10-CAT221-CAT3221,lightgbm,15.085120708110257,4.117705172146415,19.202825880256672
CID0_SID0_PID691_MGID6_CAT121-CAT264-CAT319,lightgbm,108.76366751754416,33.99500905303095,142.75867657057512
CID0_SID0_PID699_MGID2_CAT130-CAT275-CAT3191,lightgbm,35.994749897233056,3.968923033813617,39.96367293104667
CID0_SID0_PID6_MGID6_CAT120-CAT250-CAT3170,lightgbm,40.127944264970616,-24.198887972828413,64.32683223779902
CID0_SID0_PID70_MGID6_CAT14-CAT228-CAT381,lightgbm,136.7946280557579,-18.999446838461576,155.79407489421948
CID0_SID0_PID712_MGID6_CAT124-CAT266-CAT3199,lightgbm,111.0830506378742,-62.23877041033968,173.32182104821388
CID0_SID0_PID719_MGID6_CAT110-CAT257-CAT3205,lightgbm,15.667379207128002,12.758322592091544,28.425701799219546
CID0_SID0_PID72_MGID3_CAT125-CAT271-CAT3213,lightgbm,21.03875294583565,11.298292046294575,32.33704499213023
CID0_SID0_PID740_MGID2_CAT129-CAT276-CAT360,lightgbm,37.92939305030359,-5.642372854658853,43.57176590496244
CID0_SID0_PID764_MGID5_CAT118-CAT280-CAT3111,lightgbm,22.81923236488364,9.384077170979046,32.20330953586269
CID0_SID0_PID769_MGID6_CAT120-CAT268-CAT3176,lightgbm,39.46761663721866,-14.476782467834422,53.94439910505308
CID0_SID0_PID76_MGID6_CAT18-CAT229-CAT3113,lightgbm,51.3717083683752,15.036581533360987,66.4082899017362
CID0_SID0_PID775_MGID6_CAT14-CAT228-CAT3167,lightgbm,58.07067768952555,-57.529023329793525,115.59970101931908
CID0_SID0_PID783_MGID5_CAT122-CAT281-CAT356,lightgbm,49.401389554115546,-46.1328148684912,95.53420442260672
CID0_SID0_PID796_MGID6_CAT14-CAT228-CAT31,lightgbm,50.09430567166579,-31.449833362410715,81.54413903407651
CID0_SID0_PID806_MGID6_CAT121-CAT264-CAT3184,lightgbm,23.97435612205687,-14.660356276148873,38.63471239820574
CID0_SID0_PID810_MGID6_CAT14-CAT228-CAT3168,lightgbm,51.61309730266528,-13.19048978044277,64.80358708310806
CID0_SID0_PID834_MGID0_CAT128-CAT272-CAT3154,lightgbm,170.99036660876808,-170.99036660876808,341.98073321753617
CID0_SID0_PID843_MGID6_CAT14-CAT228-CAT3167,lightgbm,27.55177749587822,-11.178456508126402,38.73023400400462
CID0_SID0_PID90_MGID6_CAT14-CAT253-CAT377,lightgbm,92.71789520482972,1.754324709793469,94.4722199146232
CID0_SID0_PID93_MGID6_CAT121-CAT261-CAT3223,lightgbm,32.90190918979698,-28.945502683418216,61.8474118732152
