,id,best_model,mae,bias,score,ADI,CV2,regime
0,CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,Holt,74.1446480896852,14.968214139932837,89.11286222961805,1.0,0.1971764236476327,Low-Low
1,CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,Holt,106.64931429751567,-8.760258754927106,115.4095730524428,1.0,0.12408092424692828,Low-Low
2,CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,SeasonalExponentialSmoothingOptimized,37.389925839195385,-2.731973377354848,40.12189921655023,1.0,0.23694922135685326,Low-Low
3,CID0_SID0_PID122_MGID6_CAT120-CAT268-CAT3127,HoltWinters,81.26502324370593,-56.31527439405344,137.58029763775937,1.0,0.2550312482584942,Low-Low
4,CID0_SID0_PID127_MGID6_CAT120-CAT258-CAT3172,chronos2,21.079993111746653,-15.380333491734095,36.46032660348075,1.0133333333333334,0.20483547525780468,Low-Low
5,CID0_SID0_PID129_MGID6_CAT110-CAT233-CAT3181,CrostonOptimized,48.57142857142857,0.5674566205284017,49.13888519195697,1.4074074074074074,1.3106477168274608,High-High
6,CID0_SID0_PID136_MGID6_CAT14-CAT228-CAT3161,WindowAverage,26.428571428571427,-8.214285714285714,34.64285714285714,1.0410958904109588,0.2739750026208807,Low-Low
7,CID0_SID0_PID166_MGID6_CAT120-CAT250-CAT359,HistoricAverage,59.23684210526316,-16.0639097744361,75.30075187969926,1.0,0.2087847682367124,Low-Low
8,CID0_SID0_PID18_MGID6_CAT14-CAT228-CAT3142,lightgbm,35.97933235679165,-23.89936122292039,59.87869357971204,1.0410958904109588,0.46391081833419723,Low-Low
9,CID0_SID0_PID190_MGID6_CAT14-CAT228-CAT3131,CrostonClassic,49.34204825931458,-6.268597479029579,55.61064573834416,1.027027027027027,0.15692764032677128,Low-Low
10,CID0_SID0_PID193_MGID6_CAT18-CAT229-CAT3114,SimpleExponentialSmoothingOptimized,15.279162929739426,-0.1887166346811538,15.46787956442058,1.0410958904109588,0.2337625867611395,Low-Low
11,CID0_SID0_PID194_MGID5_CAT118-CAT280-CAT3109,WindowAverage,30.571428571428573,-2.2857142857142856,32.85714285714286,1.027027027027027,0.3521189710195946,Low-Low
12,CID0_SID0_PID19_MGID6_CAT14-CAT228-CAT381,OptimizedTheta,34.4193010224814,0.1891462181826568,34.608447240664056,1.027027027027027,0.2484962450767301,Low-Low
13,CID0_SID0_PID201_MGID6_CAT18-CAT229-CAT3113,OptimizedTheta,32.541003875379324,0.4964945223322701,33.037498397711595,1.0857142857142856,0.2991690389866705,Low-Low
14,CID0_SID0_PID207_MGID6_CAT14-CAT228-CAT3179,HoltWinters,30.02445657460643,-7.498327887385399,37.52278446199183,1.0133333333333334,0.23843252429464612,Low-Low
15,CID0_SID0_PID214_MGID6_CAT18-CAT28-CAT39,OptimizedTheta,14.072852247485752,5.621404147953186,19.69425639543893,1.0,0.22215235183252854,Low-Low
16,CID0_SID0_PID215_MGID6_CAT14-CAT228-CAT3149,CrostonOptimized,62.40927697920618,0.2779182884138192,62.687195267620005,1.0,0.19521880787453225,Low-Low
