id,1,2,3,4,5,6,7,8,9,10,11,12,13,14
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,310.0,310.0,330.0,540.0,560.0,330.0,370.0,360.0,320.0,380.0,390.0,460.0,510.0,310.0
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,290.0,240.0,290.0,340.0,530.0,430.0,460.0,520.0,370.0,440.00000000000006,650.0,620.0,480.0,510.0
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,110.0,60.0,50.0,180.0,180.0,110.0,130.0,140.0,140.0,130.0,220.00000000000003,100.0,70.0,70.0
CID0_SID0_PID122_MGID6_CAT120-CAT268-CAT3127,90.0,50.0,120.0,260.0,190.0,140.0,140.0,150.0,120.0,220.00000000000003,340.0,280.0,340.0,450.0
CID0_SID0_PID127_MGID6_CAT120-CAT258-CAT3172,110.0,50.0,50.0,100.0,100.0,70.0,70.0,80.0,80.0,100.0,80.0,80.0,70.0,40.0
CID0_SID0_PID129_MGID6_CAT110-CAT233-CAT3181,100.0,130.0,150.0,100.0,40.0,0.0,10.0,20.0,110.0,130.0,40.0,0.0,30.0,100.0
CID0_SID0_PID136_MGID6_CAT14-CAT228-CAT3161,50.0,70.0,20.0,90.0,100.0,80.0,40.0,60.0,50.0,50.0,150.0,120.0,40.0,70.0
CID0_SID0_PID166_MGID6_CAT120-CAT250-CAT359,230.0,130.0,117.0,320.0,370.0,110.0,160.0,140.0,100.0,160.0,160.0,260.0,120.0,180.0
CID0_SID0_PID18_MGID6_CAT14-CAT228-CAT3142,60.0,0.0,20.0,130.0,60.0,50.0,20.0,50.0,40.0,90.0,70.0,200.0,40.0,70.0
CID0_SID0_PID190_MGID6_CAT14-CAT228-CAT3131,110.0,100.0,120.0,150.0,200.0,160.0,120.0,120.0,100.0,140.0,10.0,0.0,0.0,190.0
CID0_SID0_PID193_MGID6_CAT18-CAT229-CAT3114,50.0,50.0,20.0,90.0,50.0,50.0,70.0,70.0,90.0,50.0,60.0,80.0,60.0,80.0
CID0_SID0_PID194_MGID5_CAT118-CAT280-CAT3109,80.0,80.0,90.0,60.0,170.0,20.0,30.0,90.0,100.0,50.0,120.0,100.0,20.0,72.0
CID0_SID0_PID19_MGID6_CAT14-CAT228-CAT381,140.0,120.0,110.0,120.0,110.0,50.0,130.0,170.0,180.0,90.0,110.0,190.0,0.0,110.0
CID0_SID0_PID201_MGID6_CAT18-CAT229-CAT3113,0.0,50.0,70.0,30.0,120.0,90.0,50.0,30.0,60.0,70.0,170.0,10.0,80.0,40.0
CID0_SID0_PID207_MGID6_CAT14-CAT228-CAT3179,110.0,60.0,90.0,140.0,150.0,120.0,90.0,150.0,100.0,80.0,270.0,180.0,180.0,150.0
CID0_SID0_PID214_MGID6_CAT18-CAT28-CAT39,30.0,10.0,10.0,30.0,50.0,30.0,40.0,50.0,50.0,40.0,20.0,50.0,20.0,60.0
CID0_SID0_PID215_MGID6_CAT14-CAT228-CAT3149,460.0,370.0,470.0,480.0,450.0,480.0,490.00000000000006,490.00000000000006,380.0,480.0,430.0,470.0,280.0,819.9999999999999
CID0_SID0_PID21_MGID6_CAT14-CAT228-CAT381,60.0,50.0,90.0,30.0,70.0,120.0,10.0,100.0,90.0,60.0,70.0,70.0,120.0,110.0
CID0_SID0_PID223_MGID6_CAT120-CAT258-CAT3172,130.0,150.0,100.0,170.0,210.0,110.0,130.0,200.0,100.0,160.0,210.0,180.0,160.0,230.0
CID0_SID0_PID23_MGID6_CAT14-CAT253-CAT358,30.0,30.0,0.0,50.0,140.0,80.0,100.0,100.0,110.0,150.0,110.0,230.0,130.0,100.0
CID0_SID0_PID253_MGID6_CAT110-CAT233-CAT383,50.0,60.0,60.0,50.0,50.0,30.0,50.0,40.0,50.0,20.0,50.0,90.0,0.0,10.0
